Tipo,Nombre,Habilidad,Ataque,Edad,Arma
Guerreros,Link,Maestría con la espada,70,17,Espada Maestra
Guerreros,Zelda,Magia de luz,40,20,Báculo de Luz
Guerreros,Impa (Guardiana),Sigilo ninja,45,50,Hojas Gemelas Sheikah
Guerreros,Mipha (Aliada),Curación acuática,35,25,Lanza del Dominio Zora
Guerreros,Daruk (Campeón Goron),Resistencia rocosa,55,45,Escudo del Talión
Guerreros,Urbosa (Campeona Gerudo),Furia del desierto,60,38,Espada de los Segadores
Guerreros,Revali (Campeón Rito),Precisión aérea,70,27,Arco del Valle
Guerreros,Sidon (Príncipe Zora),Dominio del agua,50,22,Lanza Zora
Enemigos,Ganondorf (Jefe Final),Poder oscuro supremo,70,2000,Espada Maldita
Enemigos,Bokoblin Rojo (Enemigo),Emboscada furtiva,10,50,Mazo Oxidado
Enemigos,Bokoblin Azul (Enemigo),Agilidad esquiva,15,60,Lanza de Hierro
Enemigos,Moblin (Enemigo),Fuerza bruta,25,70,Gran Mazo
Enemigos,Stalfos (Enemigo),Regeneración ósea,30,200,Espada de Hueso
Enemigos,Lynel (Enemigo),Embestida imparable,45,150,Hacha de Guerra Lynel
Enemigos,Hinox (Enemigo),Resistencia titánica,60,500,Mazo Gigante
