FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 1
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 1
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 1
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 1
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 1 ~ 4
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 1 ~ 4
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 1
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 1
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 5 ~ 0
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 0 ~ 5
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 1
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 1 ~ 4
FECHA: 2024-03-04 🗓️ | GANADOR: Empate  🟡 | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Empate  🟡 | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 1 ~ 4
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 1 ~ 4
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 0 ~ 4
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 0 ~ 5
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 0
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-04 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-05 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 5 ~ 0
FECHA: 2024-03-05 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
FECHA: 2024-03-05 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 0 ~ 5
FECHA: 2024-03-05 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 4 ~ 1
FECHA: 2024-03-05 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-05 🗓️ | GANADOR: Jugador 👨🏻 | PUNTUACIÓN(👨🏻 ~ 🖥️): 3 ~ 2
FECHA: 2024-03-05 🗓️ | GANADOR: Sistema 🖥️ | PUNTUACIÓN(👨🏻 ~ 🖥️): 2 ~ 3
