Batalla el 01-03-2024 18:00:04: ganador: Jugador 🟢, -> Participantes de la Maquina(275): (Venom(70), Rocket(55), Black Widow(40), Wolverine(70), Gamora(40), ), -> Participantes del Jugador(400): (Iron Man (75), Vision (75), Bruja Escarlata (100), Magneto (85), Groot (65), ).
Batalla el 01-03-2024 18:00:07: ganador: Maquina 🔴, -> Participantes de la Maquina(380): (Iron Man(75), Wolverine(70), Black Widow(40), Doctor Strange(95), Bruja Escarlata(100), ), -> Participantes del Jugador(240): (Drax (45), Ojo de Halcón (30), Mystica (50), Rocket (55), Wasp (60), ).
Batalla el 01-03-2024 18:00:11: ganador: Jugador 🟢, -> Participantes de la Maquina(290): (Doctor Octopus(55), Star-Lord(50), Hulk(80), Wolverine(70), Falcon(35), ), -> Participantes del Jugador(300): (Gamora (40), Wasp (60), Black Widow (40), Bruja Escarlata (100), Ant-Man (60), ).
Batalla el 01-03-2024 18:19:23: ganador: Jugador 🟢, -> Participantes de la Maquina(365): (Wasp(60), Magneto(85), Iron Man(75), Doctor Strange(95), Mystica(50), ), -> Participantes del Jugador(370): (Hulk (80), Duende Verde (55), Venom (70), Bruja Escarlata (100), Black Panther (65), ).
Batalla el 01-03-2024 20:39:59: ganador: Maquina 🔴, -> Participantes de la Maquina(330): (Magneto(85), Loki(75), Drax(45), Black Panther(65), Ant-Man(60), ), -> Participantes del Jugador(255): (Rocket (55), Falcon (35), Groot (65), Wolverine (70), Ojo de Halcón (30), ).
Batalla el 01-03-2024 20:41:17: ganador: Maquina 🔴, -> Participantes de la Maquina(395): (Doctor Strange(95), Hulk(80), Doctor Octopus(55), Jean(80), Magneto(85), ), -> Participantes del Jugador(270): (Ant-Man (60), Mystica (50), Rocket (55), Black Panther (65), Black Widow (40), ).
Batalla el 02-03-2024 14:55:17: ganador: Jugador 🟢, -> Participantes de la Maquina(310): (Jean(80), Black Panther(65), Star-Lord(50), Vision(75), Black Widow(40), ), -> Participantes del Jugador(340): (Wolverine (70), Ant-Man (60), Hulk (80), Drax (45), Magneto (85), ).
Batalla el 02-03-2024 14:56:22: ganador: Maquina 🔴, -> Participantes de la Maquina(350): (Wasp(60), Duende Verde(55), Ant-Man(60), Bruja Escarlata(100), Loki(75), ), -> Participantes del Jugador(335): (Gamora (40), Hulk (80), Wolverine (70), Iron Man (75), Venom (70), ).
Batalla el 02-03-2024 14:58:02: ganador: Jugador 🟢, -> Participantes de la Maquina(285): (Falcon(35), Gamora(40), Loki(75), Black Panther(65), Wolverine(70), ), -> Participantes del Jugador(360): (Magneto (85), Bruja Escarlata (100), Groot (65), Ojo de Halcón (30), Hulk (80), ).
Batalla el 02-03-2024 14:58:13: ganador: Jugador 🟢, -> Participantes de la Maquina(290): (Groot(65), Ojo de Halcón(30), Wolverine(70), Venom(70), Duende Verde(55), ), -> Participantes del Jugador(300): (Jean (80), Wasp (60), Star-Lord (50), Drax (45), Black Panther (65), ).
Batalla el 02-03-2024 14:58:34: ganador: Jugador 🟢, -> Participantes de la Maquina(280): (Venom(70), Hulk(80), Ojo de Halcón(30), Drax(45), Doctor Octopus(55), ), -> Participantes del Jugador(380): (Bruja Escarlata (100), Jean (80), Vision (75), Loki (75), Star-Lord (50), ).
